Id,Id2,Geography,Estimate; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Occupied housing units - Owner-occupied,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied,Estimate; HOUSING TENURE - Occupied housing units - Renter-occupied,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
1400000US34005700102,34005700102,"Census Tract 7001.02, Burlington County, New Jersey",1019,822,80.7,197,19.3,2.66,(X),2.73,(X),1019,1019,55,5.4,252,24.7,309,30.3,112,11,157,15.4,134,13.2,594,1888,228,907,188,1361,81891
1400000US34005700103,34005700103,"Census Tract 7001.03, Burlington County, New Jersey",1300,906,69.7,394,30.3,2.05,(X),2.15,(X),1300,1300,161,12.4,276,21.2,525,40.4,201,15.5,114,8.8,23,1.8,638,1565,268,776,384,1383,65556
1400000US34005700104,34005700104,"Census Tract 7001.04, Burlington County, New Jersey",668,364,54.5,304,45.5,2.91,(X),2.66,(X),668,668,83,12.4,234,35,155,23.2,73,10.9,27,4,96,14.4,263,1866,101,694,297,1024,47384
1400000US34005700200,34005700200,"Census Tract 7002, Burlington County, New Jersey",997,822,82.4,175,17.6,2.76,(X),2.28,(X),997,997,88,8.8,166,16.6,304,30.5,214,21.5,80,8,145,14.5,613,2257,209,1022,154,1125,95288
1400000US34005700303,34005700303,"Census Tract 7003.03, Burlington County, New Jersey",1320,918,69.5,402,30.5,2.8,(X),2.2,(X),1320,1320,106,8,589,44.6,250,18.9,177,13.4,66,5,132,10,586,2244,332,970,395,1508,90294
1400000US34005700304,34005700304,"Census Tract 7003.04, Burlington County, New Jersey",850,795,93.5,55,6.5,2.99,(X),2.25,(X),850,850,12,1.4,138,16.2,272,32,153,18,83,9.8,192,22.6,519,1873,276,889,55,1411,75577
1400000US34005700305,34005700305,"Census Tract 7003.05, Burlington County, New Jersey",1748,1663,95.1,85,4.9,3.01,(X),2.24,(X),1748,1748,46,2.6,322,18.4,497,28.4,399,22.8,261,14.9,223,12.8,1019,2442,644,1019,80,1742,95500
1400000US34005700306,34005700306,"Census Tract 7003.06, Burlington County, New Jersey",824,786,95.4,38,4.6,2.93,(X),4.82,(X),824,824,21,2.5,101,12.3,259,31.4,171,20.8,100,12.1,172,20.9,531,2129,255,922,38,2025,111000
1400000US34005700307,34005700307,"Census Tract 7003.07, Burlington County, New Jersey",922,879,95.3,43,4.7,2.97,(X),2.79,(X),922,922,36,3.9,104,11.3,395,42.8,162,17.6,74,8,151,16.4,632,2464,247,1104,29,-,125714
1400000US34005700401,34005700401,"Census Tract 7004.01, Burlington County, New Jersey",749,634,84.6,115,15.4,2.79,(X),2.03,(X),749,749,22,2.9,186,24.8,161,21.5,181,24.2,63,8.4,136,18.2,460,1876,174,804,109,1085,65703
1400000US34005700402,34005700402,"Census Tract 7004.02, Burlington County, New Jersey",1214,1122,92.4,92,7.6,2.53,(X),2.07,(X),1214,1214,32,2.6,178,14.7,381,31.4,302,24.9,114,9.4,207,17.1,774,1787,348,709,59,1165,73235
1400000US34005700403,34005700403,"Census Tract 7004.03, Burlington County, New Jersey",1692,1162,68.7,530,31.3,2.9,(X),2.02,(X),1692,1692,130,7.7,515,30.4,437,25.8,233,13.8,145,8.6,232,13.7,782,1725,380,792,513,957,61842
1400000US34005700405,34005700405,"Census Tract 7004.05, Burlington County, New Jersey",645,535,82.9,110,17.1,2.92,(X),2.68,(X),645,645,42,6.5,78,12.1,215,33.3,107,16.6,75,11.6,128,19.8,342,1772,193,720,110,1194,83750
1400000US34005700407,34005700407,"Census Tract 7004.07, Burlington County, New Jersey",2745,303,11,2442,89,1.58,(X),1.99,(X),2745,2745,409,14.9,1621,59.1,476,17.3,180,6.6,30,1.1,29,1.1,173,1318,130,656,2410,1153,43830
1400000US34005700408,34005700408,"Census Tract 7004.08, Burlington County, New Jersey",1175,170,14.5,1005,85.5,1.65,(X),1.7,(X),1175,1175,255,21.7,544,46.3,281,23.9,39,3.3,42,3.6,14,1.2,142,1730,28,700,999,1193,61424
1400000US34005700501,34005700501,"Census Tract 7005.01, Burlington County, New Jersey",2138,1581,73.9,557,26.1,2.71,(X),2.08,(X),2138,2138,161,7.5,346,16.2,633,29.6,464,21.7,196,9.2,338,15.8,1049,2363,532,953,542,1216,102873
1400000US34005700502,34005700502,"Census Tract 7005.02, Burlington County, New Jersey",730,647,88.6,83,11.4,3.12,(X),2.22,(X),730,730,64,8.8,78,10.7,227,31.1,153,21,54,7.4,154,21.1,422,2806,225,1066,62,1526,104000
1400000US34005700503,34005700503,"Census Tract 7005.03, Burlington County, New Jersey",1325,1229,92.8,96,7.2,2.92,(X),1.45,(X),1325,1325,51,3.8,229,17.3,449,33.9,289,21.8,99,7.5,208,15.7,752,3315,477,"1,500+",96,-,155313
1400000US34005700504,34005700504,"Census Tract 7005.04, Burlington County, New Jersey",1052,805,76.5,247,23.5,2.76,(X),2.74,(X),1052,1052,71,6.7,328,31.2,197,18.7,249,23.7,74,7,133,12.6,518,2521,287,1079,247,1295,126417
1400000US34005700505,34005700505,"Census Tract 7005.05, Burlington County, New Jersey",1931,1802,93.3,129,6.7,3.16,(X),1.95,(X),1931,1931,86,4.5,317,16.4,862,44.6,535,27.7,82,4.2,49,2.5,1062,"4,000+",740,"1,500+",84,856,196926
1400000US34005700602,34005700602,"Census Tract 7006.02, Burlington County, New Jersey",2119,1989,93.9,130,6.1,2.82,(X),2.81,(X),2119,2119,62,2.9,299,14.1,1057,49.9,377,17.8,90,4.2,234,11,1448,1981,541,1068,130,1735,101128
1400000US34005700603,34005700603,"Census Tract 7006.03, Burlington County, New Jersey",2123,1251,58.9,872,41.1,3.32,(X),2.15,(X),2123,2123,121,5.7,806,38,601,28.3,244,11.5,59,2.8,292,13.8,828,1931,423,960,872,1077,72819
1400000US34005700605,34005700605,"Census Tract 7006.05, Burlington County, New Jersey",1580,1314,83.2,266,16.8,3.05,(X),2.62,(X),1580,1580,72,4.6,308,19.5,402,25.4,277,17.5,231,14.6,290,18.4,965,2278,349,1030,266,1397,109722
1400000US34005700701,34005700701,"Census Tract 7007.01, Burlington County, New Jersey",1254,830,66.2,424,33.8,2.44,(X),2.88,(X),1254,1254,75,6,392,31.3,306,24.4,160,12.8,154,12.3,167,13.3,540,1780,290,824,415,1273,64348
1400000US34005700702,34005700702,"Census Tract 7007.02, Burlington County, New Jersey",872,579,66.4,293,33.6,3.14,(X),2.45,(X),872,872,72,8.3,208,23.9,286,32.8,147,16.9,49,5.6,110,12.6,431,1616,148,756,288,972,62130
1400000US34005700703,34005700703,"Census Tract 7007.03, Burlington County, New Jersey",843,507,60.1,336,39.9,2.62,(X),2.53,(X),843,843,111,13.2,203,24.1,258,30.6,131,15.5,99,11.7,41,4.9,354,1758,153,801,314,1210,47731
1400000US34005700800,34005700800,"Census Tract 7008, Burlington County, New Jersey",1864,1414,75.9,450,24.1,2.55,(X),1.98,(X),1864,1864,78,4.2,561,30.1,725,38.9,149,8,168,9,183,9.8,1023,1980,391,889,443,1233,79778
1400000US34005700900,34005700900,"Census Tract 7009, Burlington County, New Jersey",949,659,69.4,290,30.6,2.71,(X),2.54,(X),949,949,92,9.7,194,20.4,343,36.1,118,12.4,104,11,98,10.3,486,1611,173,738,249,959,48583
1400000US34005701001,34005701001,"Census Tract 7010.01, Burlington County, New Jersey",2172,1002,46.1,1170,53.9,2.17,(X),2.4,(X),2172,2172,146,6.7,879,40.5,593,27.3,280,12.9,147,6.8,127,5.8,587,1509,415,796,1156,1230,59125
1400000US34005701002,34005701002,"Census Tract 7010.02, Burlington County, New Jersey",1283,948,73.9,335,26.1,3.08,(X),2.63,(X),1283,1283,102,8,270,21,386,30.1,172,13.4,140,10.9,213,16.6,627,1857,321,848,326,1140,73981
1400000US34005701102,34005701102,"Census Tract 7011.02, Burlington County, New Jersey",1896,1569,82.8,327,17.2,3.15,(X),1.29,(X),1896,1896,92,4.9,266,14,1047,55.2,426,22.5,37,2,28,1.5,1370,2294,199,906,316,913,111176
1400000US34005701103,34005701103,"Census Tract 7011.03, Burlington County, New Jersey",2114,1870,88.5,244,11.5,3.18,(X),2.21,(X),2114,2114,70,3.3,442,20.9,812,38.4,455,21.5,126,6,209,9.9,1436,2278,434,878,244,1188,87404
1400000US34005701104,34005701104,"Census Tract 7011.04, Burlington County, New Jersey",1703,1075,63.1,628,36.9,2.87,(X),2.3,(X),1703,1703,139,8.2,485,28.5,554,32.5,217,12.7,108,6.3,200,11.7,764,2129,311,872,621,1160,74583
1400000US34005701105,34005701105,"Census Tract 7011.05, Burlington County, New Jersey",2160,1510,69.9,650,30.1,2.73,(X),2.44,(X),2160,2160,112,5.2,746,34.5,710,32.9,280,13,92,4.3,220,10.2,1061,2189,449,765,628,991,68621
1400000US34005701201,34005701201,"Census Tract 7012.01, Burlington County, New Jersey",1202,1010,84,192,16,2.55,(X),2.12,(X),1202,1202,81,6.7,176,14.6,453,37.7,168,14,147,12.2,177,14.7,663,1884,347,758,132,1060,73947
1400000US34005701203,34005701203,"Census Tract 7012.03, Burlington County, New Jersey",748,503,67.2,245,32.8,2.74,(X),2.66,(X),748,748,75,10,221,29.5,169,22.6,119,15.9,56,7.5,108,14.4,284,1657,219,676,245,1053,63929
1400000US34005701204,34005701204,"Census Tract 7012.04, Burlington County, New Jersey",1000,307,30.7,693,69.3,2.94,(X),2.19,(X),1000,1000,133,13.3,337,33.7,313,31.3,75,7.5,117,11.7,25,2.5,195,1726,112,980,682,858,24071
1400000US34005701205,34005701205,"Census Tract 7012.05, Burlington County, New Jersey",951,614,64.6,337,35.4,2.48,(X),2.52,(X),951,951,114,12,159,16.7,285,30,240,25.2,87,9.1,66,6.9,419,1848,195,755,323,997,56202
1400000US34005701301,34005701301,"Census Tract 7013.01, Burlington County, New Jersey",1888,1264,66.9,624,33.1,2.52,(X),2.17,(X),1888,1888,172,9.1,324,17.2,680,36,297,15.7,238,12.6,177,9.4,947,1690,317,720,614,1018,53478
1400000US34005701302,34005701302,"Census Tract 7013.02, Burlington County, New Jersey",1081,888,82.1,193,17.9,2.42,(X),2.74,(X),1081,1081,67,6.2,288,26.6,341,31.5,197,18.2,82,7.6,106,9.8,735,1544,153,641,193,1308,81205
1400000US34005701303,34005701303,"Census Tract 7013.03, Burlington County, New Jersey",2035,1978,97.2,57,2.8,2.68,(X),2.39,(X),2035,2035,66,3.2,463,22.8,925,45.5,298,14.6,121,5.9,162,8,1514,2360,464,807,29,993,103219
1400000US34005701401,34005701401,"Census Tract 7014.01, Burlington County, New Jersey",2295,2238,97.5,57,2.5,2.8,(X),3.19,(X),2295,2295,121,5.3,174,7.6,1395,60.8,224,9.8,258,11.2,123,5.4,1729,2637,509,1030,57,-,121941
1400000US34005701402,34005701402,"Census Tract 7014.02, Burlington County, New Jersey",1237,1213,98.1,24,1.9,1.72,(X),2.46,(X),1237,1237,63,5.1,230,18.6,575,46.5,220,17.8,139,11.2,10,0.8,455,1530,758,731,24,1833,51414
1400000US34005701502,34005701502,"Census Tract 7015.02, Burlington County, New Jersey",1699,1134,66.7,565,33.3,2.64,(X),1.82,(X),1699,1699,106,6.2,524,30.8,571,33.6,196,11.5,111,6.5,191,11.2,811,1711,323,1031,555,1077,72250
1400000US34005701700,34005701700,"Census Tract 7017, Burlington County, New Jersey",1736,902,52,834,48,2.55,(X),1.79,(X),1736,1736,196,11.3,513,29.6,576,33.2,188,10.8,68,3.9,195,11.2,646,2026,256,708,803,1210,76250
1400000US34005702101,34005702101,"Census Tract 7021.01, Burlington County, New Jersey",1280,3,0.2,1277,99.8,3.33,(X),3.43,(X),1280,1280,365,28.5,843,65.9,72,5.6,0,0,0,0,0,0,3,-,0,-,1271,1955,63099
1400000US34005702203,34005702203,"Census Tract 7022.03, Burlington County, New Jersey",1461,842,57.6,619,42.4,2.69,(X),1.93,(X),1461,1461,222,15.2,308,21.1,346,23.7,119,8.1,143,9.8,323,22.1,541,1667,301,620,619,913,57534
1400000US34005702204,34005702204,"Census Tract 7022.04, Burlington County, New Jersey",703,479,68.1,224,31.9,2.9,(X),2.9,(X),703,703,21,3,298,42.4,153,21.8,126,17.9,39,5.5,66,9.4,368,1696,111,674,224,1057,59063
1400000US34005702206,34005702206,"Census Tract 7022.06, Burlington County, New Jersey",725,539,74.3,186,25.7,2.94,(X),2.48,(X),725,725,38,5.2,183,25.2,232,32,118,16.3,72,9.9,82,11.3,325,1614,214,645,174,900,57989
1400000US34005702207,34005702207,"Census Tract 7022.07, Burlington County, New Jersey",1293,945,73.1,348,26.9,2.32,(X),2.55,(X),1293,1293,101,7.8,334,25.8,429,33.2,266,20.6,46,3.6,117,9,531,1399,414,645,324,820,51635
1400000US34005702208,34005702208,"Census Tract 7022.08, Burlington County, New Jersey",2162,1837,85,325,15,3.06,(X),3.52,(X),2162,2162,118,5.5,404,18.7,564,26.1,511,23.6,217,10,348,16.1,1457,1571,380,694,325,1744,78125
1400000US34005702209,34005702209,"Census Tract 7022.09, Burlington County, New Jersey",1090,782,71.7,308,28.3,2.78,(X),3.37,(X),1090,1090,73,6.7,272,25,332,30.5,175,16.1,160,14.7,78,7.2,574,1484,208,639,296,1244,71369
1400000US34005702210,34005702210,"Census Tract 7022.10, Burlington County, New Jersey",1573,1187,75.5,386,24.5,2.74,(X),3.27,(X),1573,1573,103,6.5,309,19.6,474,30.1,262,16.7,285,18.1,140,8.9,896,1437,291,574,380,1080,65542
1400000US34005702300,34005702300,"Census Tract 7023, Burlington County, New Jersey",561,372,66.3,189,33.7,2.55,(X),2.57,(X),561,561,56,10,114,20.3,275,49,63,11.2,15,2.7,38,6.8,276,1779,96,668,181,1117,67750
1400000US34005702400,34005702400,"Census Tract 7024, Burlington County, New Jersey",1074,965,89.9,109,10.1,3.07,(X),3.46,(X),1074,1074,26,2.4,167,15.5,355,33.1,218,20.3,141,13.1,167,15.5,696,2714,269,982,75,869,108875
1400000US34005702500,34005702500,"Census Tract 7025, Burlington County, New Jersey",2056,1457,70.9,599,29.1,3.13,(X),2.4,(X),2056,2056,326,15.9,527,25.6,430,20.9,402,19.6,263,12.8,108,5.3,1115,2282,342,919,559,1144,90938
1400000US34005702601,34005702601,"Census Tract 7026.01, Burlington County, New Jersey",1703,1339,78.6,364,21.4,2.57,(X),2.19,(X),1703,1703,146,8.6,333,19.6,540,31.7,214,12.6,180,10.6,290,17,1057,1782,282,754,364,1229,74964
1400000US34005702603,34005702603,"Census Tract 7026.03, Burlington County, New Jersey",858,396,46.2,462,53.8,2.48,(X),2.64,(X),858,858,138,16.1,241,28.1,239,27.9,59,6.9,67,7.8,114,13.3,235,1443,161,745,445,1076,39079
1400000US34005702700,34005702700,"Census Tract 7027, Burlington County, New Jersey",3124,2817,90.2,307,9.8,2.8,(X),2.71,(X),3124,3124,102,3.3,402,12.9,1272,40.7,776,24.8,361,11.6,211,6.8,2281,1944,536,800,254,1769,105000
1400000US34005702801,34005702801,"Census Tract 7028.01, Burlington County, New Jersey",684,625,91.4,59,8.6,2.94,(X),4.54,(X),684,684,11,1.6,117,17.1,254,37.1,66,9.6,102,14.9,134,19.6,484,1730,141,865,59,1663,78947
1400000US34005702802,34005702802,"Census Tract 7028.02, Burlington County, New Jersey",1035,963,93,72,7,3.21,(X),4.35,(X),1035,1035,8,0.8,159,15.4,332,32.1,90,8.7,156,15.1,290,28,612,1575,351,829,72,1857,64063
1400000US34005702803,34005702803,"Census Tract 7028.03, Burlington County, New Jersey",1300,1183,91,117,9,2.9,(X),3.35,(X),1300,1300,111,8.5,206,15.8,315,24.2,234,18,223,17.2,211,16.2,910,1778,273,884,111,1558,78000
1400000US34005702804,34005702804,"Census Tract 7028.04, Burlington County, New Jersey",943,864,91.6,79,8.4,2.69,(X),2.3,(X),943,943,33,3.5,146,15.5,361,38.3,138,14.6,93,9.9,172,18.2,710,1783,154,667,74,1657,77250
1400000US34005702805,34005702805,"Census Tract 7028.05, Burlington County, New Jersey",1134,908,80.1,226,19.9,2.97,(X),5.73,(X),1134,1134,17,1.5,180,15.9,333,29.4,208,18.3,76,6.7,320,28.2,627,1936,281,744,173,1756,76842
1400000US34005702806,34005702806,"Census Tract 7028.06, Burlington County, New Jersey",1126,894,79.4,232,20.6,3.28,(X),2.98,(X),1126,1126,41,3.6,215,19.1,364,32.3,165,14.7,127,11.3,214,19,776,1649,118,706,183,1843,70263
1400000US34005702807,34005702807,"Census Tract 7028.07, Burlington County, New Jersey",1068,659,61.7,409,38.3,3.31,(X),2.67,(X),1068,1068,90,8.4,292,27.3,387,36.2,95,8.9,86,8.1,118,11,492,1495,167,834,409,1281,65865
1400000US34005702808,34005702808,"Census Tract 7028.08, Burlington County, New Jersey",1042,823,79,219,21,2.93,(X),3.88,(X),1042,1042,65,6.2,127,12.2,311,29.8,113,10.8,216,20.7,210,20.2,562,1819,261,771,206,1460,67083
1400000US34005702809,34005702809,"Census Tract 7028.09, Burlington County, New Jersey",716,339,47.3,377,52.7,2.31,(X),3.19,(X),716,716,105,14.7,279,39,209,29.2,76,10.6,37,5.2,10,1.4,299,1404,40,514,377,1555,56250
1400000US34005702810,34005702810,"Census Tract 7028.10, Burlington County, New Jersey",398,383,96.2,15,3.8,3.11,(X),2.4,(X),398,398,0,0,35,8.8,176,44.2,92,23.1,36,9,59,14.8,284,2180,99,1023,9,-,98558
1400000US34005702811,34005702811,"Census Tract 7028.11, Burlington County, New Jersey",814,793,97.4,21,2.6,2.73,(X),6.81,(X),814,814,20,2.5,48,5.9,173,21.3,231,28.4,143,17.6,199,24.4,578,1952,215,999,21,-,77308
1400000US34005702905,34005702905,"Census Tract 7029.05, Burlington County, New Jersey",1688,1068,63.3,620,36.7,2.76,(X),1.97,(X),1688,1688,97,5.7,649,38.4,388,23,240,14.2,164,9.7,150,8.9,710,2320,358,1016,601,1445,101515
1400000US34005702906,34005702906,"Census Tract 7029.06, Burlington County, New Jersey",619,543,87.7,76,12.3,3.12,(X),2.22,(X),619,619,34,5.5,73,11.8,170,27.5,152,24.6,63,10.2,127,20.5,361,2160,182,980,66,2159,104031
1400000US34005702907,34005702907,"Census Tract 7029.07, Burlington County, New Jersey",1198,1171,97.7,27,2.3,2.28,(X),1.48,(X),1198,1198,27,2.3,205,17.1,388,32.4,233,19.4,169,14.1,176,14.7,598,2248,573,836,13,-,76979
1400000US34005702908,34005702908,"Census Tract 7029.08, Burlington County, New Jersey",1978,1867,94.4,111,5.6,2.14,(X),1.23,(X),1978,1978,195,9.9,367,18.6,620,31.3,657,33.2,72,3.6,67,3.4,953,2455,914,950,61,2051,69397
1400000US34005702909,34005702909,"Census Tract 7029.09, Burlington County, New Jersey",2509,2079,82.9,430,17.1,2.42,(X),3.54,(X),2509,2509,274,10.9,557,22.2,931,37.1,533,21.2,142,5.7,72,2.9,1601,2016,478,966,430,1521,110703
1400000US34005702910,34005702910,"Census Tract 7029.10, Burlington County, New Jersey",2000,1678,83.9,322,16.1,2.69,(X),2.42,(X),2000,2000,40,2,440,22,903,45.2,501,25.1,100,5,16,0.8,1037,3425,641,1159,309,974,116053
1400000US34005702913,34005702913,"Census Tract 7029.13, Burlington County, New Jersey",2429,1380,56.8,1049,43.2,1.8,(X),2.15,(X),2429,2429,494,20.3,756,31.1,819,33.7,281,11.6,61,2.5,18,0.7,935,1486,445,727,1035,1542,67875
1400000US34005702914,34005702914,"Census Tract 7029.14, Burlington County, New Jersey",1518,1299,85.6,219,14.4,2.8,(X),2.98,(X),1518,1518,24,1.6,316,20.8,466,30.7,274,18.1,237,15.6,201,13.2,948,2233,351,966,179,2225,97132
1400000US34005702915,34005702915,"Census Tract 7029.15, Burlington County, New Jersey",1683,1212,72,471,28,2.54,(X),2.49,(X),1683,1683,137,8.1,357,21.2,658,39.1,301,17.9,220,13.1,10,0.6,994,1988,218,854,471,1401,91250
1400000US34005702917,34005702917,"Census Tract 7029.17, Burlington County, New Jersey",780,698,89.5,82,10.5,2.43,(X),1.88,(X),780,780,66,8.5,150,19.2,236,30.3,239,30.6,62,7.9,27,3.5,552,1962,146,997,77,1705,104695
1400000US34005702918,34005702918,"Census Tract 7029.18, Burlington County, New Jersey",855,705,82.5,150,17.5,2.01,(X),1.93,(X),855,855,54,6.3,240,28.1,360,42.1,154,18,28,3.3,19,2.2,542,1674,163,738,147,1760,82837
1400000US34005703000,34005703000,"Census Tract 7030, Burlington County, New Jersey",2295,2167,94.4,128,5.6,2.71,(X),1.41,(X),2295,2295,109,4.7,304,13.2,909,39.6,622,27.1,167,7.3,184,8,1634,2266,533,750,115,-,97420
1400000US34005703102,34005703102,"Census Tract 7031.02, Burlington County, New Jersey",900,786,87.3,114,12.7,3.19,(X),1.65,(X),900,900,23,2.6,157,17.4,490,54.4,113,12.6,78,8.7,39,4.3,577,3467,209,1321,99,1726,170962
1400000US34005703103,34005703103,"Census Tract 7031.03, Burlington County, New Jersey",1920,921,48,999,52,2.7,(X),2.25,(X),1920,1920,256,13.3,679,35.4,559,29.1,331,17.2,80,4.2,15,0.8,779,1899,142,916,994,1246,62403
1400000US34005703104,34005703104,"Census Tract 7031.04, Burlington County, New Jersey",1768,1514,85.6,254,14.4,2.86,(X),1.74,(X),1768,1768,35,2,272,15.4,768,43.4,405,22.9,164,9.3,124,7,1202,2284,312,781,243,845,86023
1400000US34005703201,34005703201,"Census Tract 7032.01, Burlington County, New Jersey",1391,1283,92.2,108,7.8,2.77,(X),1.68,(X),1391,1391,68,4.9,287,20.6,379,27.2,253,18.2,217,15.6,187,13.4,755,1817,528,810,90,939,69120
1400000US34005703202,34005703202,"Census Tract 7032.02, Burlington County, New Jersey",866,779,90,87,10,2.95,(X),3.06,(X),866,866,17,2,137,15.8,168,19.4,244,28.2,131,15.1,169,19.5,508,2591,271,909,50,2109,97083
1400000US34005703203,34005703203,"Census Tract 7032.03, Burlington County, New Jersey",2370,2216,93.5,154,6.5,1.65,(X),2.06,(X),2370,2370,128,5.4,369,15.6,1221,51.5,332,14,146,6.2,174,7.3,1074,1226,1142,622,74,1183,42745
1400000US34005703600,34005703600,"Census Tract 7036, Burlington County, New Jersey",2424,2280,94.1,144,5.9,2.86,(X),2.74,(X),2424,2424,29,1.2,236,9.7,902,37.2,387,16,364,15,506,20.9,1613,2164,667,891,84,1778,99549
1400000US34005703700,34005703700,"Census Tract 7037, Burlington County, New Jersey",2175,2063,94.9,112,5.1,3.03,(X),1.75,(X),2175,2175,104,4.8,529,24.3,614,28.2,447,20.6,320,14.7,161,7.4,1540,2247,523,944,112,983,102316
1400000US34005703801,34005703801,"Census Tract 7038.01, Burlington County, New Jersey",2624,2225,84.8,399,15.2,2.73,(X),2.16,(X),2624,2624,110,4.2,613,23.4,816,31.1,636,24.2,220,8.4,229,8.7,1619,2756,606,1047,382,1370,118417
1400000US34005703802,34005703802,"Census Tract 7038.02, Burlington County, New Jersey",1821,1183,65,638,35,2.42,(X),1.9,(X),1821,1821,201,11,744,40.9,415,22.8,254,13.9,141,7.7,66,3.6,741,2335,442,1088,625,1223,86199
1400000US34005703803,34005703803,"Census Tract 7038.03, Burlington County, New Jersey",1709,1620,94.8,89,5.2,2.83,(X),2.96,(X),1709,1709,155,9.1,246,14.4,475,27.8,393,23,106,6.2,334,19.5,1257,2204,363,1088,89,2154,108958
1400000US34005703804,34005703804,"Census Tract 7038.04, Burlington County, New Jersey",2332,2285,98,47,2,3.09,(X),4.13,(X),2332,2332,127,5.4,175,7.5,914,39.2,576,24.7,369,15.8,171,7.3,1625,3155,660,1198,47,-,127233
1400000US34005703900,34005703900,"Census Tract 7039, Burlington County, New Jersey",1495,1381,92.4,114,7.6,2.73,(X),2.7,(X),1495,1495,68,4.5,249,16.7,442,29.6,331,22.1,150,10,255,17.1,1069,2466,312,1036,114,1890,105598
1400000US34005704004,34005704004,"Census Tract 7040.04, Burlington County, New Jersey",1671,870,52.1,801,47.9,2.73,(X),1.83,(X),1671,1671,193,11.5,585,35,410,24.5,287,17.2,93,5.6,103,6.2,671,1990,199,853,783,1172,72021
1400000US34005704005,34005704005,"Census Tract 7040.05, Burlington County, New Jersey",1550,1076,69.4,474,30.6,2.87,(X),1.74,(X),1550,1550,137,8.8,430,27.7,397,25.6,253,16.3,143,9.2,190,12.3,762,2208,314,865,474,1378,79732
1400000US34005704006,34005704006,"Census Tract 7040.06, Burlington County, New Jersey",853,735,86.2,118,13.8,2.71,(X),1.87,(X),853,853,34,4,156,18.3,333,39,149,17.5,124,14.5,57,6.7,571,2033,164,908,113,1339,92125
1400000US34005704007,34005704007,"Census Tract 7040.07, Burlington County, New Jersey",1448,1023,70.6,425,29.4,2.84,(X),1.42,(X),1448,1448,81,5.6,281,19.4,430,29.7,272,18.8,93,6.4,291,20.1,732,1997,291,832,416,2087,62039
1400000US34005704008,34005704008,"Census Tract 7040.08, Burlington County, New Jersey",1966,1401,71.3,565,28.7,3.03,(X),1.93,(X),1966,1966,150,7.6,417,21.2,445,22.6,565,28.7,211,10.7,178,9.1,1046,2339,355,1105,558,1508,94375
1400000US34005704009,34005704009,"Census Tract 7040.09, Burlington County, New Jersey",1789,1029,57.5,760,42.5,3.03,(X),1.96,(X),1789,1789,254,14.2,699,39.1,351,19.6,370,20.7,59,3.3,56,3.1,850,2230,179,934,748,1560,89844
1400000US34005704011,34005704011,"Census Tract 7040.11, Burlington County, New Jersey",1083,1041,96.1,42,3.9,2.85,(X),3.24,(X),1083,1083,68,6.3,134,12.4,398,36.7,235,21.7,75,6.9,173,16,731,2720,310,982,27,-,125977
