Id,Id2,Geography,Estimate; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Occupied housing units - Owner-occupied,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied,Estimate; HOUSING TENURE - Occupied housing units - Renter-occupied,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
1400000US34015501606,34015501606,"Census Tract 5016.06, Gloucester County, New Jersey",2552,2466,96.6,86,3.4,2.86,(X),3.5,(X),2552,2552,163,6.4,437,17.1,937,36.7,343,13.4,311,12.2,361,14.1,1869,2104,597,927,56,1152,82019
1400000US34015501608,34015501608,"Census Tract 5016.08, Gloucester County, New Jersey",2118,1848,87.3,270,12.7,2.59,(X),1.9,(X),2118,2118,121,5.7,520,24.6,666,31.4,450,21.2,220,10.4,141,6.7,1074,1719,774,838,270,1550,66277
1400000US34015501609,34015501609,"Census Tract 5016.09, Gloucester County, New Jersey",1846,1515,82.1,331,17.9,3.45,(X),1.82,(X),1846,1846,74,4,472,25.6,805,43.6,362,19.6,54,2.9,79,4.3,1202,2696,313,1207,321,801,116524
1400000US34015501701,34015501701,"Census Tract 5017.01, Gloucester County, New Jersey",1802,1770,98.2,32,1.8,3,(X),2.84,(X),1802,1802,33,1.8,211,11.7,655,36.3,423,23.5,304,16.9,176,9.8,1356,2090,414,768,32,-,101023
1400000US34015501702,34015501702,"Census Tract 5017.02, Gloucester County, New Jersey",862,777,90.1,85,9.9,3.04,(X),1.67,(X),862,862,23,2.7,88,10.2,250,29,192,22.3,167,19.4,142,16.5,523,1872,254,858,74,1000,102037
1400000US34015501703,34015501703,"Census Tract 5017.03, Gloucester County, New Jersey",1508,1332,88.3,176,11.7,2.73,(X),2.68,(X),1508,1508,84,5.6,252,16.7,536,35.5,269,17.8,176,11.7,191,12.7,951,1776,381,816,158,1212,70227
1400000US34015501704,34015501704,"Census Tract 5017.04, Gloucester County, New Jersey",1563,1309,83.7,254,16.3,2.74,(X),3.68,(X),1563,1563,84,5.4,198,12.7,512,32.8,314,20.1,269,17.2,186,11.9,884,1690,425,689,254,1241,63691
1400000US34015501800,34015501800,"Census Tract 5018, Gloucester County, New Jersey",599,455,76,144,24,2.73,(X),2.64,(X),599,599,58,9.7,127,21.2,186,31.1,53,8.8,76,12.7,99,16.5,305,1963,150,748,138,1171,74226
1400000US34015501900,34015501900,"Census Tract 5019, Gloucester County, New Jersey",1396,1273,91.2,123,8.8,2.98,(X),1.93,(X),1396,1396,39,2.8,247,17.7,438,31.4,251,18,220,15.8,201,14.4,787,2220,486,790,123,856,81649
1400000US34015502001,34015502001,"Census Tract 5020.01, Gloucester County, New Jersey",1841,1541,83.7,300,16.3,3.37,(X),2.38,(X),1841,1841,118,6.4,397,21.6,750,40.7,440,23.9,90,4.9,46,2.5,1337,2927,204,1129,282,956,137083
1400000US34015502002,34015502002,"Census Tract 5020.02, Gloucester County, New Jersey",2439,2209,90.6,230,9.4,2.95,(X),1.68,(X),2439,2439,131,5.4,539,22.1,983,40.3,475,19.5,128,5.2,183,7.5,1628,2619,581,960,177,1898,126338
1400000US34015502100,34015502100,"Census Tract 5021, Gloucester County, New Jersey",1027,1018,99.1,9,0.9,3.1,(X),1.89,(X),1027,1027,46,4.5,165,16.1,373,36.3,240,23.4,135,13.1,68,6.6,662,2832,356,1053,9,-,121406
1400000US34015502200,34015502200,"Census Tract 5022, Gloucester County, New Jersey",3869,3200,82.7,669,17.3,3.31,(X),2.16,(X),3869,3869,266,6.9,1238,32,1946,50.3,319,8.2,27,0.7,73,1.9,2605,2773,595,1127,669,1623,123347
1400000US34015502300,34015502300,"Census Tract 5023, Gloucester County, New Jersey",931,657,70.6,274,29.4,2.57,(X),3.34,(X),931,931,101,10.8,259,27.8,290,31.1,122,13.1,52,5.6,107,11.5,461,2058,196,956,263,1415,78267
