County,Id2,Geography,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),SMOC for housing units with and without a mortgage,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
Camden,34007607505,"Census Tract 6075.05, Camden County, New Jersey",3.1,9.2,976,2802,391,1451,2416,53,2855,135238
Camden,34007607506,"Census Tract 6075.06, Camden County, New Jersey",26.3,2,523,1539,105,877,1428,609,1461,81843
Camden,34007607507,"Census Tract 6075.07, Camden County, New Jersey",20.5,3.2,473,1744,337,823,1361,1975,1138,47958
Camden,34007607600,"Census Tract 6076, Camden County, New Jersey",2.3,22.6,417,2055,305,907,1570,47,1841,84250
Camden,34007607701,"Census Tract 6077.01, Camden County, New Jersey",20.8,4.3,319,1661,172,868,1383,1688,877,29532
Camden,34007607702,"Census Tract 6077.02, Camden County, New Jersey",8.7,6.8,429,1538,251,963,1326,858,1001,46472
Camden,34007607801,"Census Tract 6078.01, Camden County, New Jersey",7.9,6.5,660,1261,246,741,1120,1572,960,40897
Camden,34007607802,"Census Tract 6078.02, Camden County, New Jersey",6.3,18,471,1640,161,632,1383,198,1425,72083
Camden,34007607900,"Census Tract 6079, Camden County, New Jersey",5.9,15.7,418,1985,155,1043,1730,127,893,82250
Camden,34007608001,"Census Tract 6080.01, Camden County, New Jersey",4.5,11.9,546,1629,274,886,1381,461,921,63618
Camden,34007608202,"Census Tract 6082.02, Camden County, New Jersey",10.1,14.6,842,1851,326,1052,1628,230,1242,84583
Camden,34007608205,"Census Tract 6082.05, Camden County, New Jersey",5.9,27,943,2110,404,1128,1815,33,2141,97313
